year,title,gross,director,cast,url
2006,Don: The Chase Begins Again,₹ 106 crore (US$23.4 million),Farhan Akhtar,Shah Rukh Khan; Priyanka Chopra; Arjun Rampal; Isha Koppikar; Boman Irani; Pavan Malhotra; Rajesh Khattar; Om Puri; Kareena Kapoor,https://en.wikipedia.org/wiki/Don_(2006_Hindi_film)
2006,Fanaa,₹ 103 crore (US$22.73 million),Kunal Kohli,Aamir Khan; Kajol; Rishi Kapoor; Ali Haji; Tabu; Kirron Kher,https://en.wikipedia.org/wiki/Fanaa_(2006_film)
2006,Rang De Basanti,₹ 97 crore (US$21.41 million),Rakeysh Omprakash Mehra,Aamir Khan; Siddharth; Atul Kulkarni; Sharman Joshi; Kunal Kapoor; Alice Patten; Soha Ali Khan; Waheeda Rehman; Anupam Kher; Kirron Kher; Om Puri,https://en.wikipedia.org/wiki/Rang_De_Basanti
2006,Phir Hera Pheri,₹ 69 crore (US$15.23 million),Neeraj Vora,Akshay Kumar; Suniel Shetty; Paresh Rawal; Bipasha Basu; Rimi Sen; Sharat Saxena; Johnny Lever; Rajpal Yadav; Milind Gunaji; Manoj Joshi; Razak Khan,https://en.wikipedia.org/wiki/Phir_Hera_Pheri
2006,Bhagam Bhag,₹ 67 crore (US$14.79 million),Priyadarshan,Akshay Kumar; Govinda; Paresh Rawal; Jackie Shroff; Arbaaz Khan; Lara Dutta; Rajpal Yadav; Shakti Kapoor; Asrani,https://en.wikipedia.org/wiki/Bhagam_Bhag
2006,Vivah,₹ 49 crore (US$10.82 million),Sooraj R. Barjatya,Shahid Kapoor; Amrita Rao; Anupam Kher; Alok Nath,https://en.wikipedia.org/wiki/Vivah
2007,Om Shanti Om,₹ 152 crore,Farah Khan,Shah Rukh Khan; Deepika Padukone; Arjun Rampal; Shreyas Talpade; Kirron Kher,https://en.wikipedia.org/wiki/Om_Shanti_Om
2007,Welcome,₹122 crore,Anees Bazmee,Feroz Khan; Anil Kapoor; Nana Patekar; Akshay Kumar; Katrina Kaif; Paresh Rawal; Mallika Sherawat,https://en.wikipedia.org/wiki/Welcome_(2007_film)
2007,Chak De! India,₹ 109 crore,Shimit Amin,Shah Rukh Khan,https://en.wikipedia.org/wiki/Chak_De!_India
2007,Partner,₹ 101 crore,David Dhawan,Govinda; Salman Khan; Lara Dutta; Katrina Kaif,https://en.wikipedia.org/wiki/Partner_(2007_film)
2007,Taare Zameen Par,₹ 98.48 crore,Aamir Khan,Darsheel Safary; Aamir Khan; Tisca Chopra; Vipin Sharma; Tanay Chheda,https://en.wikipedia.org/wiki/Taare_Zameen_Par
2007,Heyy Babyy,₹ 84 crore,Sajid Khan,Akshay Kumar; Fardeen Khan; Riteish Deshmukh; Vidya Balan; Boman Irani; Juanna Sanghvi,https://en.wikipedia.org/wiki/Heyy_Babyy
2007,Guru,₹ 83.67 crore,Mani Ratnam,Abhishek Bachchan; Aishwarya Rai; Mithun Chakraborty; R. Madhavan; Vidya Balan,https://en.wikipedia.org/wiki/Guru_(2007_film)
2007,Bhool Bhulaiyaa,₹ 83 crore,Priyadarshan,Akshay Kumar; Vidya Balan; Shiney Ahuja; Ameesha Patel; Paresh Rawal; Manoj Joshi; Asrani; Rajpal Yadav,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa
2007,Namastey London,₹ 71.4 crore,Vipul Amrutlal Shah,Rishi Kapoor; Akshay Kumar; Katrina Kaif; Nina Wadia; Upen Patel; Clive Standen,https://en.wikipedia.org/wiki/Namastey_London
