actor,nepo,n_films,won_national,won_filmfare
Ruslaan Mumtaz,False,7,False,False
Kajal Aggarwal,False,7,False,True
Shraddha Das,False,7,False,False
Suresh Menon,False,7,False,False
Sameer Dattani,False,7,False,False
Jim Sarbh,False,7,False,True
Upen Patel,False,7,False,False
Rasika Dugal,False,7,False,False
Mukesh Rishi,False,7,False,True
Sheeba Chaddha,False,7,False,False
Divyendu Sharma,False,7,False,False
Angad Bedi,False,7,False,False
Jackky Bhagnani,True,7,False,False
Aditya Srivastava,False,7,False,False
Reema Sen,False,7,False,False
Yuvika Chaudhary,False,7,False,False
Nushrat Bharucha,False,7,False,False
Shilpa Shukla,False,7,False,True
Shweta Basu Prasad,False,7,False,False
Govind Namdeo,False,7,False,False
Arya Babbar,True,7,False,False
Shahbaz Khan,False,7,False,False
Jitendra Kumar,False,7,False,False
Chandrachur Singh,False,7,False,True
Kanwaljit Singh,False,7,False,False
Tulip Joshi,False,7,False,False
Neeraj Kabi,False,7,False,False
Sonal Sehgal,False,7,False,False
Ayesha Jhulka,False,7,False,True
Jugal Hansraj,False,7,False,False
Tanvi Azmi,False,7,False,True
Victor Banerjee,False,7,False,False
Rahul Singh,False,7,False,False
Tahir Raj Bhasin,False,6,False,True
Mandira Bedi,False,6,False,False
Parambrata Chatterjee,False,6,False,False
Sara Loren,False,6,False,False
Harman Baweja,False,6,False,False
Namit Das,False,6,False,False
Pooja Hegde,False,6,False,False
Mohan Agashe,False,6,False,False
Kavin Dave,False,6,False,False
Rashmika Mandanna,False,6,False,False
Indraneil Sengupta,False,6,False,False
Pallavi Joshi,False,6,False,True
Vikas Kalantri,False,6,False,False
Rajshri Deshpande,False,6,False,False
Sharmila Tagore,False,6,False,True
Siddhant Chaturvedi,False,6,False,False
Neil Bhoopalam,False,6,False,False
Rajesh Tailang,False,6,False,False
Vatsal Sheth,False,6,False,False
Nikhil Dwivedi,False,6,False,False
Amrita Singh,False,6,False,True
Archana Puran Singh,False,6,False,True
Rannvijay Singh,False,6,False,False
Sahil Vaid,False,6,False,False
Shriya Pilgaonkar,False,6,False,False
Pavan Malhotra,False,6,False,False
Lisa Haydon,False,6,False,True
Sunil Grover,False,6,False,False
Paoli Dam,False,6,False,False
Rinke Khanna,True,6,False,False
Tara Sutaria,False,6,False,True
Zeenat Aman,False,6,False,True
Jaaved Jaaferi,False,6,False,False
Vikram Gokhale,False,6,True,False
Sugandha Garg,False,6,False,False
Sanjana Sanghi,False,6,False,False
Manushi Chhillar,False,6,False,True
Seema Pahwa,False,6,False,True
Deepal Shaw,False,6,False,False
Himansh Kohli,False,6,False,False
Sikandar Kher,True,6,False,False
Kulraj Randhawa,False,6,False,False
Siddhanth Kapoor,False,6,False,False
Sayali Bhagat,False,6,False,False
Omi Vaidya,False,6,False,False
Tanishaa Mukerji,True,6,False,False
Amol Parashar,False,6,False,False
Darshan Kumar,False,6,False,True
Mahaakshay Chakraborty,True,6,False,False
Rana Daggubati,False,6,False,False
Amruta Subhash,False,6,False,False
Ahsaas Channa,False,6,False,False
Meghna Naidu,False,6,False,False
Divya Khosla Kumar,False,6,False,False
