actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
Abhishek Bachchan,yes,2012,Bol Bachchan,165.68,yes,Rohit Shetty,5.7,11018,Bol Bachchan
Abhishek Bachchan,yes,2012,Players,45.52,yes,Abbas–Mustan,4.4,5519,Players
Abhishek Bachchan,yes,2013,Dhoom 3,589.02,yes,Vijay Krishna Acharya,5.4,53514,Dhoom 3
Abhishek Bachchan,yes,2014,Happy New Year,342.00,yes,Farah Khan,5.0,44548,Happy New Year
Abhishek Bachchan,yes,2015,All Is Well,18.02,yes,Umesh Shukla,3.6,1761,All Is Well
Abhishek Bachchan,yes,2016,Housefull 3,194.94,yes,Sajid-Farhad,5.0,12627,Housefull 3
Abhishek Bachchan,yes,2018,Manmarziyaan,40.39,yes,Anurag Kashyap,6.8,9749,Husband Material
Abhishek Bachchan,yes,2020,Ludo,,yes,Anurag Basu,7.6,46190,Ludo
Abhishek Bachchan,yes,2021,Bob Biswas,,yes,Diya Annapurna Ghosh,6.7,8228,Bob Biswas
Abhishek Bachchan,yes,2021,The Big Bull,,yes,Kookie Gulati,5.6,17062,The Big Bull
Abhishek Bachchan,yes,2022,Dasvi,,yes,Tushar Jalota,7.3,62660,Dasvi
Abhishek Bachchan,yes,2023,Ghoomer,7.00,yes,R. Balki,7.5,12840,Ghoomer
Abhishek Bachchan,yes,2024,I Want to Talk,1.25,yes,Shoojit Sircar,7.1,2610,I Want to Talk
Abhishek Bachchan,yes,2025,Be Happy,,yes,Remo D'Souza,6.4,1704,Be Happy
Abhishek Bachchan,yes,2025,Housefull 5,242.80,yes,Tarun Mansukhani,3.3,18694,Housefull 5
Abhishek Bachchan,yes,2025,Kaalidhar Laapata,,yes,Madhumita,7.6,10175,Kaalidhar Laapata
Abhishek Banerjee,no,2020,Bhonsle,,no,Devashish Makhija,6.8,1803,Bhonsle
Abhishek Banerjee,no,2020,Unpaused,,no,Raj & D.K Nitya Mehra Nikkhil Advani Tannishtha Chatterjee Avinash Arun,7.0,2757,Unpaused
