actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Abhay Verma,no,2023,Safed,,no,Sandeep Singh
Abhay Verma,no,2024,Ae Watan Mere Watan,,yes,Kannan Iyer
Abhay Verma,no,2024,Munjya,132.13,no,Aditya Sarpotdar
Abhijeet Sawant,no,2009,Lottery,,no,Hemant Prabhu
Abhijeet Singh,no,2020,Bunker,,no,Jugal Raja
Abhijit Acharjee,no,2024,Nasha Jurm Aur Gangsters,,no,Rajkumar Patra
Abhijit Bhunia,no,2024,Appu,,no,Prosenjit Ganguly
Abhilash Chaudhary,no,2021,D Company,,no,Ram Gopal Varma
Abhilash Chaudhary,no,2025,Akshardham: Operation Vajra Shakti,,yes,Ken Ghosh
Abhilash Kumar,no,2016,Ghayal: Once Again,45.35,yes,Sunny Deol
Abhilash Thapleyal,no,2018,Dil Juunglee,1.30,no,Aleya Sen
Abhimanyu Arun,no,2017,Daddy,15.50,no,Ashim Ahluwalia
Abhimanyu Dassani,no,2019,Mard Ko Dard Nahi Hota,2.03,no,Vasan Bala
Abhimanyu Dassani,no,2021,Meenakshi Sundareshwar,,no,Vivek Soni
Abhimanyu Dassani,no,2022,Nikamma,1.77,no,Sabbir Khan
Abhimanyu Dassani,no,2023,Aankh Micholi,1.50,no,Umesh Shukla
Abhimanyu Shekhar Singh,no,2011,I Am,0.67,no,Onir
Abhimanyu Singh,no,2010,Rakta Charitra,,yes,Ram Gopal Verma
Abhimanyu Singh,no,2014,Main Tera Hero,78.00,yes,David Dhawan
Abhimanyu Singh,no,2016,Global Baba,,no,Manoj Sidheshwari Tewari
Abhimanyu Singh,no,2019,Pranaam,,no,Sanjiv Jaiswal
Abhimanyu Singh,no,2020,Gul Makai,,no,H.E. Amjad khan
Abhimanyu Singh,no,2020,Guns of Banaras,,no,Sekhar Suri
Abhimanyu Singh,no,2020,Taish,,no,Bejoy Nambiar
Abhimanyu Singh,no,2021,State of Siege: Temple Attack,,yes,Ken Ghosh
Abhimanyu Singh,no,2022,Ladki: Dragon Girl,,no,Ram Gopal Varma
Abhimanyu Singh,no,2023,Aazam,,no,Shravan Tiwari
Abhimanyu Singh,no,2024,Luv You Shankar,,yes,Rajiv S. Ruia
Abhimanyu Singh,no,2025,Akshardham: Operation Vajra Shakti,,yes,Ken Ghosh
Abhinav Shukla,no,2014,Roar: Tigers of the Sundarbans,,no,Kamal Sadanah
Abhinav Shukla,no,2017,Aksar 2,7.18,no,Ananth Narayan Mahadevan
Abhinaye Sharma,no,2020,Pagleaazam,,no,"Vikas P Kavvthekaar, Aps Raghuvanshi"
Abhiram Bhadkamkar,no,2000,Zindagi Zindabad,,no,Sumitra Bhave–Sunil Sukthankar
Abhishek,no,2007,50 Lakh,,no,Chandra Sekhar Yeleti
Abhishek Bachchan,yes,2000,Dhai Akshar Prem Ke,16.30,yes,Raj Kanwar
Abhishek Bachchan,yes,2000,Refugee,35.44,yes,J. P. Dutta
Abhishek Bachchan,yes,2000,Tera Jadoo Chal Gayaa,,yes,A. Muthu
Abhishek Bachchan,yes,2001,Bas Itna Sa Khwaab Hai,,yes,Goldie Behl
Abhishek Bachchan,yes,2002,Haan Maine Bhi Pyaar Kiya,19.55,yes,Dharmesh Darshan
Abhishek Bachchan,yes,2002,Om Jai Jagadish,14.00,yes,Anupam Kher
Abhishek Bachchan,yes,2002,Shararat,,yes,Gurudev Bhalla
Abhishek Bachchan,yes,2003,Kuch Naa Kaho,13.08,yes,Rohan Sippy
Abhishek Bachchan,yes,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Abhishek Bachchan,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj R. Barjatya
Abhishek Bachchan,yes,2003,Mumbai Se Aaya Mera Dost,,yes,Apoorva Agnihotri
Abhishek Bachchan,yes,2003,Zameen,17.80,yes,Rohit Shetty
Abhishek Bachchan,yes,2004,Dhoom,72.47,yes,Sanjay Gadhvi
Abhishek Bachchan,yes,2004,Hum Tum,43.22,yes,Kunal Kohli
Abhishek Bachchan,yes,2004,Naach,,yes,Ram Gopal Varma
Abhishek Bachchan,yes,2004,Phir Milenge,5.43,yes,Revathy
Abhishek Bachchan,yes,2004,Rakht,8.44,yes,Mahesh Manjrekar
Abhishek Bachchan,yes,2004,Run,,yes,Jeeva
Abhishek Bachchan,yes,2004,Yuva,24.48,yes,Mani Ratnam
Abhishek Bachchan,yes,2005,Bluffmaster!,32.70,yes,Rohan Sippy
Abhishek Bachchan,yes,2005,Bunty Aur Babli,90.40,yes,Shaad Ali
Abhishek Bachchan,yes,2005,Dus,38.84,yes,Anubhav Sinha
Abhishek Bachchan,yes,2005,Ek Ajnabee,,yes,Apoorva Lakhia
Abhishek Bachchan,yes,2005,Neal 'n' Nikki,10.43,yes,Arjun Sablok
Abhishek Bachchan,yes,2005,Salaam Namaste,75.23,yes,Siddharth Anand
Abhishek Bachchan,yes,2005,Sarkar,39.30,yes,Ram Gopal Varma
Abhishek Bachchan,yes,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi
Abhishek Bachchan,yes,2006,Kabhi Alvida Naa Kehna,113.00,yes,Karan Johar
Abhishek Bachchan,yes,2006,Umrao Jaan,19.52,yes,J. P. Dutta
Abhishek Bachchan,yes,2007,Guru,83.67,yes,Mani Ratnam
Abhishek Bachchan,yes,2007,Jhoom Barabar Jhoom,51.08,yes,Shaad Ali
Abhishek Bachchan,yes,2007,Laaga Chunari Mein Daag,25.00,yes,Pradeep Sarkar
Abhishek Bachchan,yes,2007,Shootout at Lokhandwala,46.04,yes,Apoorva Lakhia
Abhishek Bachchan,yes,2008,Dostana,87.00,yes,Tarun Mansukhani
Abhishek Bachchan,yes,2008,Drona,15.00,yes,Goldie Behl
Abhishek Bachchan,yes,2008,Mission Istaanbul,,yes,Apoorva Lakhia
Abhishek Bachchan,yes,2008,Sarkar Raj,63.00,yes,Ram Gopal Verma
Abhishek Bachchan,yes,2009,Delhi-6,52.17,yes,Rakeysh Omprakash Mehra
Abhishek Bachchan,yes,2009,Paa,,yes,R. Balki
Abhishek Bachchan,yes,2010,Jhootha Hi Sahi,15.60,yes,Abbas Tyrewala
Abhishek Bachchan,yes,2010,Khelein Hum Jee Jaan Sey,4.91,yes,Ashutosh Gowariker
Abhishek Bachchan,yes,2010,Raavan,49.50,yes,Mani Ratnam
Abhishek Bachchan,yes,2011,Dum Maaro Dum,51.10,yes,Rohan Sippy
Abhishek Bachchan,yes,2011,Game,12.87,yes,Abhinay Deo
Abhishek Bachchan,yes,2012,Bol Bachchan,165.68,yes,Rohit Shetty
Abhishek Bachchan,yes,2012,Players,45.52,yes,Abbas–Mustan
Abhishek Bachchan,yes,2013,Dhoom 3,589.02,yes,Vijay Krishna Acharya
Abhishek Bachchan,yes,2014,Happy New Year,342.00,yes,Farah Khan
Abhishek Bachchan,yes,2015,All Is Well,18.02,yes,Umesh Shukla
Abhishek Bachchan,yes,2016,Housefull 3,194.94,yes,Sajid-Farhad
Abhishek Bachchan,yes,2018,Manmarziyaan,40.39,yes,Anurag Kashyap
Abhishek Bachchan,yes,2020,Ludo,,yes,Anurag Basu
Abhishek Bachchan,yes,2021,Bob Biswas,,yes,Diya Annapurna Ghosh
Abhishek Bachchan,yes,2021,The Big Bull,,yes,Kookie Gulati
Abhishek Bachchan,yes,2022,Dasvi,,yes,Tushar Jalota
Abhishek Bachchan,yes,2023,Ghoomer,7.00,yes,R. Balki
Abhishek Bachchan,yes,2024,I Want to Talk,1.25,yes,Shoojit Sircar
Abhishek Bachchan,yes,2025,Be Happy,,yes,Remo D'Souza
Abhishek Bachchan,yes,2025,Housefull 5,242.80,yes,Tarun Mansukhani
Abhishek Bachchan,yes,2025,Kaalidhar Laapata,,yes,Madhumita
Abhishek Banerjee,no,2020,Bhonsle,,no,Devashish Makhija
Abhishek Banerjee,no,2020,Unpaused,,no,Raj & D.K Nitya Mehra Nikkhil Advani Tannishtha Chatterjee Avinash Arun
Abhishek Banerjee,no,2021,Ajeeb Daastaans,,no,Shashank Khaitan Raj Mehta Neeraj Ghaywan Kayoze Irani
Abhishek Banerjee,no,2021,Ankahi Kahaniya,,no,Ashwiny Iyer Tiwari Abhishek Chaubey Saket Chaudhary
Abhishek Banerjee,no,2021,Helmet,,no,Satramm Ramani
Abhishek Banerjee,no,2021,Rashmi Rocket,,no,Akarsh Khurana
Abhishek Banerjee,no,2022,Nazar Andaaz,,no,Vikrant Deshmukh
Abhishek Banerjee,no,2023,Aankh Micholi,1.50,no,Umesh Shukla
Abhishek Banerjee,no,2023,Apurva,,no,Nikhil Nagesh Bhat
Abhishek Banerjee,no,2023,Dream Girl 2,140.56,yes,Raaj Shaandilyaa
Abhishek Banerjee,no,2024,Stree 2,874.58,no,Amar Kaushik
Abhishek Banerjee,no,2024,Vedaa,26.71,no,Nikkhil Advani
Abhishek Banerjee,no,2025,Stolen,,no,Karan Tejpal
Abhishek Chauhan,no,2020,Bahut Hua Samman,,no,Ashish R Shukla
Abhishek Chauhan,no,2023,Mast Mein Rehne Ka,,no,Vijay Maurya
Abhishek Duhan,no,2023,Mandali,,no,Rakesh Chaturvedi Om
Abhishek Kapoor,no,2000,Shikaar,,no,Bobby Raj
Abhishek Kumar,no,2012,Paanch Ghantey Mien Paanch Crore,,no,Faisal Saif
Abhishek Kumar,no,2014,Titoo MBA,,no,Amit Vats
Abhishek Sethiya,no,2014,Kahin Hai Mera Pyar,,yes,Mahesh Vaijnath Doijode
Abhishek Sharma,no,2018,Jaane Kyun De Yaaron,,no,Akshay Anand
Abid Ali,no,2012,Mr. Bhatti on Chutti,,no,Karan Razdan
Abir Goswami,no,2014,Ugly,6.24,no,Anurag Kashyap
Abuli Mamaji,no,2021,Ahaan,,no,Nikhil Pherwani
Achint Kaur,no,2011,Haunted – 3D,36.00,no,Vikram Bhatt
Achint Kaur,no,2011,Jo Hum Chahein,,no,Pawan Gill
Achint Kaur,no,2014,Roar: Tigers of the Sundarbans,,no,Kamal Sadanah
Achintya Bose,no,2020,Yeh Ballet,,no,Sooni Taraporevala
Ada Singh,no,2024,Gauraiya Live,,no,Gabriel Vats
Adah Sharma,no,2008,1920,14.50,no,Vikram Bhatt
Adah Sharma,no,2011,Phhir,,no,Girish Dhamija
Adah Sharma,no,2013,Hum Hai Raahi Car Ke,,yes,Jyotin Goel
Adah Sharma,no,2014,Hasee Toh Phasee,63.38,no,Vinil Mathew
Adah Sharma,no,2017,Commando 2,39.04,no,Deven Bhojani
Adah Sharma,no,2019,Bypass Road,1.16,no,Naman Nitin Mukesh
Adah Sharma,no,2019,Commando 3,40.15,no,Aditya Datt
Adah Sharma,no,2023,The Kerala Story,303.97,no,Sudipto Sen
Adah Sharma,no,2024,Bastar: The Naxal Story,,no,Sudipto Sen
Adah Sharma,no,2025,Tumko Meri Kasam,,yes,Vikram Bhatt
Adam Laupus,no,2014,A Decent Arrangement,,no,Sarovar Banka
Adarsh Bharti,no,2019,Mere Pyare Prime Minister,0.39,no,Rakeysh Omprakash Mehra
Adarsh Gautam,no,2007,Bal Ganesh,0.69,no,Pankaj Sharma
Adarsh Gourav,no,2017,Rukh,,no,Atanu Mukherjee
Adarsh Gourav,no,2023,Kho Gaye Hum Kahan,,yes,Arjun Varain Singh
Adarsh Gourav,no,2024,Woh Bhi Din The,,no,Sajid Ali
Adarsh Gourav,no,2025,Superboys of Malegaon,5.35,no,Reema Kagti
Adhir Bhat,no,2014,A Decent Arrangement,,no,Sarovar Banka
Adhvik Mahajan,no,2008,Contract,,no,Ram Gopal Varma
Adhvik Mahajan,no,2025,Riwaj,,no,Manoj Sati
Adhyayan Suman,no,2008,Haal-e-Dil,0.72,yes,Anil Devgan
Adhyayan Suman,no,2009,Jashnn,,no,Raksha Mistry & Hasnain S Hyderabadwala
Adhyayan Suman,no,2009,Raaz: The Mystery Continues,38.09,yes,Mohit Suri
Adhyayan Suman,no,2013,Dehraadun Diary,,no,Milind Ukey
Adhyayan Suman,no,2014,Heartless,1.18,no,Shekhar Suman
Adhyayan Suman,no,2015,Luckhnowi Ishq,,no,Aanand Raut
Adhyayan Suman,no,2016,Ishq Click,,no,Anil Ballani
Adhyayan Suman,no,2021,Bekhudi,,no,Amit Kasaria
Adi Irani,no,2013,Wake Up India,,no,Babloo Seshadri
Adi Irani,no,2014,Pyar Ka Live Show,,no,Shailendra Singh Rajput
Adil Ahmed,no,2014,Akela The Alone,,no,Abrar Qazi
Adil Hussain,no,2012,Agent Vinod,73.00,yes,Sriram Raghavan
Adil Hussain,no,2014,The Xposé,20.00,no,Ananth Narayan Mahadevan
Adil Hussain,no,2014,Zed Plus,,no,Chandraprakash Dwivedi
Adil Hussain,no,2015,Main Aur Charles,8.00,no,Prawaal Raman
Adil Hussain,no,2016,Umrika,,yes,Prashant Nair
Adil Hussain,no,2017,Mantra,,no,Nicholas Kharkongor
Adil Hussain,no,2017,Mukti Bhawan,,no,Shubhashish Bhutiani
Adil Hussain,no,2018,2.0,,no,S Shankar
Adil Hussain,no,2018,Bioscopewala,,no,Deb Medhekar
Adil Hussain,no,2018,Love Sonia,,no,Tabrez Noorani
Adil Hussain,no,2019,Bombairiya,0.14,no,Pia Sukanya
Adil Hussain,no,2020,Nirvana Inn,,no,Vijay Jayapal
Adil Hussain,no,2020,Pareeksha,,no,Prakash Jha
Adil Hussain,no,2023,Sergeant,,no,Prawaal Raman
Adil Hussain,no,2025,The Storyteller,,no,Anant Mahadevan
Adithya Menon,no,2015,Main Hoon Part-Time Killer,,no,Faisal Saif
Aditi Arya,no,2020,Unlock,,no,Debatma Mandal
Aditi Charak,no,2017,Saanjh,,no,Ajay Saklani
Aditi Govitrikar,no,2002,16 December,,no,Mani Shankar
Aditi Govitrikar,no,2002,Soch,,yes,Sushen Bhatnagar
Aditi Govitrikar,no,2009,De Dana Dan,81.85,no,Priyadarshan
Aditi Gowitrikar,no,2003,Dhund,,no,Shyam Ramsay
Aditi Inamdar,no,2017,Poorna: Courage Has No Limit,,no,Rahul Bose
Aditi Rao Hydari,no,2011,Rockstar,108.70,yes,Imtiaz Ali
Aditi Rao Hydari,no,2012,"London, Paris, New York",,no,Anu Menon
Aditi Rao Hydari,no,2013,Boss,102.82,no,Anthony D'Souza
Aditi Rao Hydari,no,2013,Murder 3,27.75,no,Vishesh Bhatt
Aditi Rao Hydari,no,2015,Guddu Rangeela,,no,Subhash Kapoor
Aditi Rao Hydari,no,2016,Fitoor,42.38,yes,Abhishek Kapoor
Aditi Rao Hydari,no,2016,The Legend of Michael Mishra,,no,Manish Jha
Aditi Rao Hydari,no,2016,Wazir,78.69,no,Bejoy Nambiar
Aditi Rao Hydari,no,2017,Bhoomi,14.76,yes,Omung Kumar
Aditi Rao Hydari,no,2018,Daas Dev,,no,Sudhir Mishra
Aditi Rao Hydari,no,2018,Padmaavat,571.98,yes,Sanjay Leela Bhansali
Aditi Rao Hydari,no,2021,Ajeeb Daastaans,,no,Shashank Khaitan Raj Mehta Neeraj Ghaywan Kayoze Irani
Aditi Rao Hydari,no,2021,Sardar Ka Grandson,,yes,Kaashvie Nair
Aditi Rao Hydari,no,2021,The Girl on the Train,,no,Ribhu Dasgupta
Aditi Saigal,no,2023,The Archies,,yes,Zoya Akhtar
Aditi Sharma,no,2008,Black & White,,no,Subhash Ghai
Aditi Sharma,no,2011,Ladies vs Ricky Bahl,84.00,no,Maneesh Sharma
Aditi Sharma,no,2014,Ekkees Toppon Ki Salaami,1.58,no,Ravindra Gautam
Aditi Sharma,no,2016,Saat Uchakkey,,no,Sanjeev Sharma
Aditi Subedi,no,2020,Mee Raqsam,,no,Baba Azmi
Aditi Vasudev,no,2010,Do Dooni Chaar,,yes,Habib Faisal
