year,movie,imdb_rating,imdb_votes,imdb_matched_title
2022,Khuda Haafiz: Chapter 2 – Agni Pariksha,7.4,15419,Khuda Haafiz: Chapter 2 - Agni Pariksha
2022,Laal Singh Chaddha,5.6,181256,Laal Singh Chaddha
2022,Ladki: Dragon Girl,,,
2022,Liger,2.6,49243,Liger
2022,Looop Lapeta,5.2,5379,Looop Lapeta
2022,Love Hostel,5.6,11606,Love Hostel
2022,Love In Ukraine,9.0,88,Love in Ukraine
2022,Maarrich,6.2,5221,Maarrich
2022,Maja Ma,6.2,2999,Maja Ma
2022,Major,8.1,34313,Major
2022,Matto Ki Saikil,7.8,665,Matto Ki Saikil
2022,Mere Desh Ki Dharti,6.8,2934,Mere Desh Ki Dharti
2022,Middle Class Love,6.1,996,Middle Class Love
2022,Mili,6.7,11753,Mili
2022,Mister Mummy,2.2,1010,Mister Mummy
2022,"Monica, O My Darling",7.4,24154,"Monica, O My Darling"
2022,Nazar Andaaz,7.2,1906,Nazar Andaaz
2022,Nikamma,2.8,1804,Nikamma
2022,Odd Couple,,,
2022,Operation Romeo,6.4,1545,Operation Romeo
2022,Phone Bhoot,5.2,11334,Phone Bhoot
2022,Plan A Plan B,4.7,3615,Plan A Plan B
2022,Qala,7.2,8559,Qala
2022,RK/RKay,6.9,525,RK/RKAY
2022,Radhe Shyam,5.2,33453,Radhe Shyam
2022,Raksha Bandhan,5.5,31688,Raksha Bandhan
2022,Ram Setu,5.3,19126,Ram Setu
2022,Rashtra Kavach Om,2.9,2281,Om - The Battle Within
2022,Rocket Gang,3.8,178,Rocket Gang
2022,Rocketry: The Nambi Effect,8.6,62174,Rocketry: The Nambi Effect
2022,Runway 34,7.0,31639,Runway 34
2022,Salaam Venky,6.7,3109,Salaam Venky
2022,Samrat Prithviraj,5.5,53960,Samrat Prithviraj
2022,Saroj Ka Rishta,4.7,799,Saroj Ka Rishta
2022,Shabaash Mithu,5.6,8491,Shabaash Mithu
2022,Shamshera,4.7,57739,Shamshera
