year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2023,Faraaz,Hansal Mehta,Zahan Kapoor; Aditya Rawal; Aamir Ali; Juhi Babbar,,,yes,Juhi Babbar
2023,Shiv Shastri Balboa,Ajayan Venugopalan,Anupam Kher; Neena Gupta; Jugal Hansraj; Nargis Fakhri; Sharib Hashmi,,,no,
2023,The Tenant,Sushrut Jain,Shamita Shetty; Rudhraksh Jaiswal,,,no,
2023,Lost,Aniruddha Roy Chowdhury,Yami Gautam; Rahul Khanna; Neil Bhoopalam; Pia Bajpiee; Tushar Pandey,,,no,
2023,Shehzada,Rohit Dhawan,Kartik Aaryan; Kriti Sanon; Paresh Rawal; Manisha Koirala,est. ₹47.43 crore,47.43,no,
2023,Selfiee,Raj Mehta,Akshay Kumar; Emraan Hashmi; Diana Penty; Nushrratt Bharuccha,₹23.63 crore,23.63,yes,Emraan Hashmi
2023,Rabia & Olivia,Shadab Khan,Sheeba Chadha; Nayab Khan; Helena Prinzen Klague,,,no,
2023,Gulmohar,Rahul V. Chittella,Manoj Bajpayee; Sharmila Tagore; Simran; Suraj Sharma,,,no,
2023,InCar,Harsh Warrdhan,Ritika Singh; Manish Jhanjholia; Sandeep Goyat; Sunil Soni; Gyan Prakash,,,no,
2023,Tu Jhoothi Main Makkaar,Luv Ranjan,Ranbir Kapoor; Shraddha Kapoor,₹220.10 crore,220.10,yes,Ranbir Kapoor
2023,Mrs. Chatterjee vs Norway,Ashima Chibber,Rani Mukerji,₹ 36.53 crore,36.53,yes,Rani Mukerji
2023,Zwigato,Nandita Das,Kapil Sharma; Shahana Goswami,₹ 2–3.53 crore,,no,
2023,Am I Next,Rahat Kazmi,Anushka Sen; Neelu Dogra; Pooja Dargan; Tariq Khan; Ahmer Haider,,,no,
2023,Chor Nikal Ke Bhaga,Ajay Singh,Yami Gautam; Sharad Kelkar,,,no,
2023,Bheed,Anubhav Sinha,Rajkummar Rao; Bhumi Pednekar; Dia Mirza; Ashutosh Rana; Pankaj Kapur,₹3.33 crore,3.33,no,
2023,Operation Mayfair,Sudipto Sarkar,Jimmy Shergill; Hritiqa Chheber; Lee Nicholas Harris; Vedieka Dutt; Ankur Bhatia; Sneha Singh,,,no,
2023,Kanjoos Makhichoos,Vipul Mehta,Kunal Khemu; Shweta Tripathi; Piyush Mishra; Alka Amin; Raju Srivastav,,,no,
2023,Bholaa,Ajay Devgn,Ajay Devgn; Tabu,est. ₹111.64 crore,111.64,no,
2023,Gaslight,Pawan Kripalani,Vikrant Massey; Sara Ali Khan; Chitrangda Singh,,,yes,Sara Ali Khan
2023,Gumraah,Vardhan Ketkar,Aditya Roy Kapur; Mrunal Thakur; Ronit Roy,est. ₹10.68 crores,10.68,yes,Aditya Roy Kapur
2023,Mrs. Undercover,Anushree Mehta,Radhika Apte; Rajesh Sharma; Sumeet Vyas; Angana Roy; Amrita Chattopadhyay; Indrasish Roy,,,no,
2023,Sir Madam Sarpanch,Praveen Morchhale,Seema Biswas; Ariana Sajnani; Hemant Deolekar; Jyoti Dubey; Shubhangini Srivas,,,no,
2023,Pinky Beauty Parlour,Akshay Singh,Akshay Singh; Sulagna Panigrahi; Khushboo Gupta; Vishwanath Chatterjee,,,no,
2023,Kisi Ka Bhai Kisi Ki Jaan,Farhad Samji,Salman Khan; Pooja Hegde; Venkatesh; Shehnaaz Gill; Jagapathi Babu,₹ 182 crore,182.00,yes,Salman Khan
2023,Bad Boy,Rajkumar Santoshi,Namashi Chakraborty; Amrin Qureshi; Saswata Chatterjee; Darshan Jariwala; Johnny Lever,,,no,
2023,U-Turn,Arif Khan,Alaya F; Priyanshu Painyuli; Aashim Gulati; Manu Rishi; Rajesh Sharma,,,no,
2023,Mother Teresa & Me,Kamal Musale,Deepti Naval; Jacqueline Fitschi-Cornaz; Banita Sandhu,,,no,
2023,Afwaah,Sudhir Mishra,Nawazuddin Siddiqui; Bhumi Pednekar; Sumeet Vyas; Sharib Hashmi,,,no,
2023,The Kerala Story,Sudipto Sen,Adah Sharma; Yogita Bihani; Sonia Balani; Siddhi Idnani,₹303.97 crore,303.97,no,
2023,Chatrapathi,V. V. Vinayak,Bellamkonda Sreenivas; Nushrratt Bharuccha; Sahil Vaid,,,no,
2023,Music School,Papa Rao Biyyala,Sharman Joshi; Prakash Raj; Shriya Saran; Suhasini Mulay; Mona Ambegaonkar; Gracy Goswami,,,no,
2023,IB71,Sankalp Reddy,Vidyut Jammwal; Anupam Kher; Vishal Jethwa; Niharica Raizada,est. ₹29.19 crore,29.19,no,
2023,Kathal,Yashowardhan Mishra,Sanya Malhotra; Anant V Joshi; Vijay Raaz; Rajpal Yadav; Brijendra Kala,,,no,
2023,Aazam,Shravan Tiwari,Jimmy Shergill; Abhimanyu Singh; Indraneil Sengupta; Raza Murad; Sayaji Shinde,,,no,
2023,8 A.M. Metro,Raj R,Gulshan Devaiah; Saiyami Kher,,,no,
2023,Kacchey Limbu,Shubham Yogi,Radhika Madan; Rajat Barmecha; Ayush Mehra,,,no,
2023,Sirf Ek Bandaa Kaafi Hai,Apoorva Singh Karki,Manoj Bajpayee; Kaustav Sinha; Nikhil Pandey,,,no,
2023,Jogira Sara Ra Ra,Kushan Nandy,Nawazuddin Siddiqui; Neha Sharma; Sanjay Mishra; Mahaakshay Chakraborty,est. ₹ 1.75 crore,1.75,yes,Mahaakshay Chakraborty
2023,Coat,Akshay Ditti,Sanjay Mishra; Vivaan Shah; Pooja Pandey; Sonal Jha,,,no,
2023,Zara Hatke Zara Bachke,Laxman Utekar,Vicky Kaushal; Sara Ali Khan,est. ₹115.89 crore,115.89,yes,Vicky Kaushal; Sara Ali Khan
2023,Mumbaikar,Santosh Sivan,Vikrant Massey; Vijay Sethupathi; Tanya Maniktala; Ranvir Shorey; Sachin Khedekar,,,no,
2023,Bloody Daddy,Ali Abbas Zafar,Rajeev Khandelwal; Amy Aela; Shahid Kapoor; Sanjay Kapoor; Diana Penty; Ronit Roy; Vivan Bhatena,,,yes,Shahid Kapoor; Sanjay Kapoor
2023,Adipurush,Om Raut,Saif Ali Khan; Prabhas; Kriti Sanon; Sunny Singh,₹350 crore,350.00,yes,Saif Ali Khan
2023,I Love You,Nikhil Mahajan,Rakul Preet Singh; Akshay Oberoi; Pavail Gulati,,,no,
2023,1920: Horrors of the Heart,Krishna Bhatt,Avika Gor; Rahul Dev; Barkha Bisht; Randheer Rai,est. ₹17.35 crore,17.35,no,
2023,Tiku Weds Sheru,Sai Kabir,Nawazuddin Siddiqui; Avneet Kaur,,,no,
2023,Aseq,Sarim Momin,Sonnalli Seygall; Vardhan Puri; Siddhanth Kapoor,,,no,
2023,Satyaprem Ki Katha,Sameer Vidwans,Kartik Aaryan; Kiara Advani; Gajraj Rao; Supriya Pathak,₹117.77 crore,117.77,no,
