year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2005,Deewane Huye Paagal,yes,26.5,5.7,6718,3.827,1.439
2006,Jaane Hoga Kya,no,2.85,3.2,239,2.38,0.585
2006,Shaadi Se Pehle,yes,18.88,4.4,994,2.998,1.298
2007,Dus Kahaniyaan,yes,13.0,5.7,1794,3.254,1.146
2009,Acid Factory,yes,5.2,5.1,765,2.884,0.792
2009,Kambakkht Ishq,yes,85.56,3.9,8003,3.903,1.937
2013,Grand Masti,yes,148.23,4.5,7283,3.862,2.174
2016,Great Grand Masti,yes,20.0,3.7,3588,3.555,1.322
2016,Kyaa Kool Hain Hum 3,no,33.14,2.0,4697,3.672,1.533
2019,Setters,no,0.58,5.4,331,2.521,0.199
2025,Mastiii 4,yes,15.14,2.3,9300,3.969,1.208
2025,Saiyaara,yes,579.23,6.3,58943,4.77,2.764
2021,Tadap,yes,34.86,5.1,5112,3.709,1.555
2004,Vaastu Shastra,no,10.0,5.0,799,2.903,1.041
2007,My Friend Ganesha,no,1.59,5.6,434,2.638,0.413
2008,Phoonk,no,13.62,4.0,1472,3.168,1.165
2010,Phoonk 2,no,9.24,3.2,601,2.78,1.01
2022,Judaa Hoke Bhi,no,0.25,5.1,1807,3.257,0.097
2018,Satyameva Jayate,no,110.0,5.7,8385,3.924,2.045
2018,Kaashi in Search of Ganga,no,0.93,5.3,451,2.655,0.286
2000,Hamara Dil Aapke Paas Hai,no,30.26,5.5,2223,3.347,1.495
2000,Josh,no,35.06,6.1,11815,4.072,1.557
2000,Mohabbatein,yes,76.91,7.1,37377,4.573,1.892
2002,23rd March 1931: Shaheed,yes,14.25,5.4,894,2.952,1.183
2002,Devdas,no,90.0,7.6,52230,4.718,1.959
2002,Hum Kisise Kum Nahin,yes,29.15,4.2,1723,3.237,1.479
2002,Hum Tumhare Hain Sanam,yes,34.76,5.4,8427,3.926,1.553
2003,Dil Ka Rishta,no,14.6,4.9,2206,3.344,1.193
2004,Khakee,yes,49.89,7.4,17502,4.243,1.707
2004,Kyun! Ho Gaya Na...,yes,16.35,4.3,2037,3.309,1.239
2004,Raincoat,no,4.88,7.7,5931,3.773,0.769
2016,Ae Dil Hai Mushkil,yes,239.56,5.9,29021,4.463,2.381
2016,Sarbjit,no,43.8,7.4,5878,3.769,1.651
2008,Jodhaa Akbar,yes,120.0,7.5,36598,4.563,2.083
2015,Jazbaa,no,42.67,5.7,3830,3.583,1.64
2018,Fanney Khan,no,16.55,4.5,2494,3.397,1.244
2019,Ujda Chaman,no,12.61,6.9,5908,3.772,1.134
2000,Deewane,no,12.25,4.7,714,2.854,1.122
2000,Raju Chacha,yes,20.92,5.1,2415,3.383,1.341
2001,Lajja,yes,34.29,6.6,3108,3.493,1.548
2002,Company,yes,25.02,7.9,17241,4.237,1.415
2002,Deewangee,yes,22.0,6.5,3383,3.529,1.362
2002,The Legend of Bhagat Singh,no,12.9,8.2,18332,4.263,1.143
2003,Bhoot,yes,23.9,6.4,4540,3.657,1.396
2003,Chori Chori,yes,5.64,4.9,1016,3.007,0.822
2003,Gangaajal,no,16.67,7.8,19129,4.282,1.247
2003,Parwana,no,7.06,2.6,359,2.556,0.906
2004,Taarzan: The Wonder Car,no,6.2,5.0,6566,3.817,0.857
2005,Apaharan,no,23.16,7.4,5608,3.749,1.383
2005,Blackmail,no,6.58,4.7,780,2.893,0.88
2005,Insan,yes,10.41,4.6,1623,3.211,1.057
2005,Kaal,yes,28.5,4.8,6570,3.818,1.47
2005,Main Aisa Hi Hoon,yes,6.58,5.0,1256,3.099,0.88
2005,Shikhar,yes,10.3,5.2,1300,3.114,1.053
2005,Tango Charlie,yes,11.08,6.1,2553,3.407,1.082
2006,Golmaal: Fun Unlimited,yes,41.25,7.5,21586,4.334,1.626
2006,Omkara,yes,42.0,8.0,23929,4.379,1.633
2007,Cash,yes,29.3,3.5,2204,3.343,1.481
2008,Golmaal Returns,yes,95.0,5.3,10517,4.022,1.982
2008,Mehbooba,yes,3.78,3.9,462,2.666,0.679
2009,All the Best: Fun Begins,yes,61.0,6.2,7742,3.889,1.792
2010,Aakrosh,yes,19.4,7.0,4518,3.655,1.31
2010,Atithi Tum Kab Jaoge?,no,3.9,6.5,7909,3.898,0.69
2010,Golmaal 3,yes,167.0,5.7,11461,4.059,2.225
2010,Once Upon a Time in Mumbaai,yes,96.44,7.4,21215,4.327,1.989
2010,Raajneeti,yes,145.5,7.1,20149,4.304,2.166
2010,Toonpur Ka Superrhero,yes,7.09,4.9,5214,3.717,0.908
2011,Dil Toh Baccha Hai Ji,yes,28.91,5.9,4600,3.663,1.476
2011,Rascals,yes,51.01,3.1,3998,3.602,1.716
2011,Ready,yes,180.0,5.0,22246,4.347,2.258
2011,Singham,no,147.89,6.8,22465,4.352,2.173
2011,Yamla Pagla Deewana,yes,88.0,5.8,4952,3.695,1.949
2012,Son Of Sardaar,yes,161.48,4.4,12172,4.085,2.211
2012,Tezz,yes,26.0,4.1,2786,3.445,1.431
2013,Himmatwala,no,68.87,1.8,9719,3.988,1.844
2014,Action Jackson,yes,88.87,3.4,4822,3.683,1.954
2014,Singham Returns,yes,215.0,5.7,11623,4.065,2.334
2015,Drishyam,no,147.0,8.2,109223,5.038,2.17
2016,Shivaay,no,124.15,6.1,13550,4.132,2.097
2017,Baadshaho,yes,123.5,4.9,5573,3.746,2.095
2017,Golmaal Again,yes,311.05,5.0,13421,4.128,2.494
2018,Raid,no,153.62,7.4,23777,4.376,2.189
2019,De De Pyaar De,no,143.04,6.5,11158,4.048,2.158
2019,Total Dhamaal,no,228.27,4.3,8956,3.952,2.36
2021,Sooryavanshi,no,302.52,5.8,81332,4.91,2.482
2022,Drishyam 2,yes,345.05,8.2,52110,4.717,2.539
2022,Gangubai Kathiawadi,yes,209.77,7.8,67273,4.828,2.324
2022,Runway 34,no,53.77,7.0,31639,4.5,1.739
2022,Thank God,no,48.92,5.6,13059,4.116,1.698
2023,Bholaa,no,111.64,5.8,26043,4.416,2.052
2024,Auron Mein Kahan Dum Tha,no,12.91,6.2,41246,4.615,1.143
2024,Maidaan,no,68.09,7.9,23502,4.371,1.839
2024,Shaitaan,no,211.06,6.5,56367,4.751,2.326
2024,Singham Again,yes,389.64,4.3,76235,4.882,2.592
2025,De De Pyaar De 2,no,104.67,6.2,13756,4.139,2.024
2025,Raid 2,no,243.06,6.6,36242,4.559,2.387
2025,Son of Sardaar 2,no,60.9,4.0,38527,4.586,1.792
2001,Kyo Kii Main Jhuth Nahin Bolta,yes,14.34,5.5,2971,3.473,1.186
2022,Jhund,no,15.16,7.4,26221,4.419,1.208
2024,Kartam Bhugtam,no,1.0,6.2,212,2.328,0.301
2015,Shamitabh,no,37.0,6.7,8251,3.917,1.58
2000,Dhadkan,no,26.47,6.5,8960,3.952,1.439
2000,Hera Pheri,no,21.4,8.2,80796,4.907,1.35
2001,Ajnabee,yes,31.83,6.4,9766,3.99,1.516
2001,Ek Rishtaa: The Bond of Love,yes,36.5,5.2,1978,3.296,1.574
2003,Andaaz,no,28.81,5.3,2994,3.476,1.474
2004,Ab Tumhare Hawale Watan Saathiyo,yes,19.16,4.5,1991,3.299,1.304
2004,Aitraaz,yes,29.0,6.6,11692,4.068,1.477
2004,Mujhse Shaadi Karogi,yes,62.0,6.7,18869,4.276,1.799
2004,Police Force: An Inside Story,no,1.8,4.2,858,2.934,0.447
2005,Bewafaa,yes,33.18,4.2,2832,3.452,1.534
2005,Dosti: Friends Forever,yes,23.0,5.3,2900,3.463,1.38
2005,Garam Masala,no,64.65,6.8,19285,4.285,1.817
2005,Waqt: The Race Against Time,no,42.49,6.8,14461,4.16,1.638
2006,Bhagam Bhag,yes,67.0,6.8,17637,4.246,1.833
