year,title,director,cast,gross_raw,gross_cr
2014,Kuku Mathur Ki Jhand Ho Gayi,Aman Sachdeva,Siddharth Gupta; Simran Kaur Mundi; Pallavi Batra,,
2014,Filmistaan,Nitin Kakkar,Sharib Hashmi; Inaamulhaq; Kumud Mishra; Gopal Dutt,,
2014,Holiday: A Soldier Is Never Off Duty,A.R. Murugadoss,Akshay Kumar; Sonakshi Sinha; Govinda,₹ 176.42 crore (US$29 million),176.42
2014,Fugly,Kabir Sadanand,Jimmy Sheirgill; Mohit Marwah; Kiara Advani; Vijender Singh; Arfi Lamba,,
2014,Machhli Jal Ki Rani Hai,Debaloy Dey,Bhanu Uday; Swara Bhaskar; Murali Sharma; Reema Debnath; Sakha Kalyani; Deepraj Rana,,
2014,Humshakals,Sajid Khan,Saif Ali Khan; Esha Gupta; Riteish Deshmukh; Bipasha Basu; Ram Kapoor; Tamannaah Bhatia,,
2014,Ek Villain,Mohit Suri,Sidharth Malhotra; Riteish Deshmukh; Shraddha Kapoor; Aamna Sharif,₹ 169.62 crore (US$18 million)(US$29 million),169.62
2014,Bobby Jasoos,Samar Shaikh,Vidya Balan; Ali Fazal; Arjan Bajwa; Anupriya Kapoor; Supriya Pathak; Tanvi Azmi,,
2014,Lekar Hum Deewana Dil,Arif Ali,Armaan Jain; Deeksha Seth; Nikita Dutta,,
2014,Humpty Sharma Ki Dulhania,Shashank Khaitan,Varun Dhawan; Alia Bhatt; Sidharth Shukla,,
2014,Munna Mange Memsaab,Shareeph Mansuri Saranawala,Omkar Das Manikpuri; Razak Khan; Himani Shivpuri,,
2014,Hate Story 2,Vishal Pandya,Surveen Chawla; Sushant Singh; Jay Bhanushali; Siddharth Kher; Rajesh Khera,,
2014,Bazaar-E-Husn,Ajay Mehra,Om Puri; Reshmi Ghosh; Yashpal Sharma; Jeet Goshwami,,
2014,Riyasat,Ashok Tyagi,Rajesh Khanna; Aryaman Ramsay; Aryan Vaid; Raja Murad; Vishwajeet Pradhan,,
2014,Amit Sahni Ki List,Ajay Bhuyan,Vir Das; Vega Tamotia; Anindita Nayar; Kavi Shastri,,
2014,Pizza,Akshay Akkineni,Akshay Oberoi; Parvathy Omanakuttan; Dipannita Sharma,,
2014,Kick,Sajid Nadiadwala,Salman Khan; Jacqueline Fernandez; Nawazuddin Siddiqui; Randeep Hooda,₹ 402 crore (US$66 million),402.00
2014,Entertainment,Sajid-Farhad,Akshay Kumar; Tamannaah Bhatia; Prakash Raj; Sonu Sood; Mithun Chakraborty,,
2014,Singham Returns,Rohit Shetty,Ajay Devgn; Kareena Kapoor; Amol Gupte; Anupam Kher,₹ 215 crore (US$35 million),215.00
2014,Life is Beautiful!,Manoj Amarnani,Manoj Amarnani; Anokhi Dalvi; Nancy Brunetta; Parth Naik; Raj Zutshi,,
2014,Mad About Dance,Saahil Prem,Saahil Prem; Amrit Maghera,,
2014,Mardaani,Pradeep Sarkar,Rani Mukerji; Tahir Raj Bhasin; Jisshu Sengupta,,
2014,Mumbhai Connection,Atlanta Nagendra,Rafiq Batcha; Srinivas; Dick Mays; Alieesa Badresia,,
2014,Raja Natwarlal,Kunal Deshmukh,Emraan Hashmi; Humaima Malick; Paresh Rawal; Deepak Tijori; Kay Kay Menon,,
2014,Mary Kom,Omung Kumar,Priyanka Chopra; Minakkshi Kalitaa; Zachary Coffin,,
2014,Creature,Vikram Bhatt,Bipasha Basu; Imran Abbas,,
2014,Daawat-e-Ishq,Habib Faisal,Aditya Roy Kapur; Parineeti Chopra; Anupam Kher,,
2014,Khoobsurat,Shashanka Ghosh,Sonam Kapoor; Fawad Khan; Kiron Kher; Ratna Pathak; Aamir Raza Hussain,,
2014,3 A.M.,Vishal Mahadkar,Rannvijay Singh; Anindita Nayar; Salil Acharya; Kavin Dave,,
2014,Chaarfutiya Chhokare,Manish Harishankar,Soha Ali Khan; Seema Biswas; Zakir Hussain,,
2014,Desi Kattey,Anand Kumar,Suniel Shetty; Akhil Kapur; Jay Bhanushali; Sasha Agha; Tia Bajpai,,
2014,Meinu Ek Ladki Chaahiye,Abhishek Bindal,Raghuvir Yadav; Puru Chibber; Reecha Sinha; Zakir Hussain,,
2014,Balwinder Singh Famous Ho Gaya,Sunil Agnihotri,Mika Singh; Shaan; Gabriela Bertante,,
2014,Bang Bang!,Siddharth Anand,Hrithik Roshan; Katrina Kaif; Jaaved Jaaferi; Jimmy Shergill; Danny Denzongpa,₹ 333 crore (US$56 million),333.00
2014,Haider,Vishal Bhardwaj,Shahid Kapoor; Tabu; Kay Kay Menon; Shraddha Kapoor; Irrfan Khan,,
2014,Spark,V. K. Singh,Rajniesh Duggal; Mansha Bahl; Subhashree Ganguly,,
2014,Jigariyaa,Raj Purohit,Harshvardhan Deo; Cherry Mardia; Virendra Saxena; K.K. Raina; Navni Parihar; Natasha Rastogi,,
2014,Ekkees Toppon Ki Salaami,Ravindra Gautam,Anupam Kher; Neha Dhupia; Divyendu Sharma; Manu Rishi; Aditi Sharma,,
2014,Tamanchey,Navneet Behal,Nikhil Dwivedi; Richa Chadda,,
2014,Mumbai 125 KM,Hemant Madhukar,Veena Malik; Karanvir Bohra; Vedita Pratap Singh; Aparna Bajpai,,
2014,Sonali Cable,Charudutt Acharya,Rhea Chakraborty; Ali Fazal; Raghav Juyal; Anupam Kher; Smita Jaykar,,
2014,Happy New Year,Farah Khan,Shah Rukh Khan; Deepika Padukone; Abhishek Bachchan; Sonu Sood; Boman Irani; Vivaan Shah; Jackie Shroff,₹ 342 crore (US$66 million),342.00
2014,Fireflies,Sabal Singh Sheikhawat,Rahul Khanna; Monica Dogra; Arjun Mathur; Shivani Ghai; Aadya Bedi,,
2014,Roar: Tigers of the Sundarbans,Kamal Sadanah,Abhinav Shukla; Varinder Singh Ghuman; Himarsha Venkatsamy; Achint Kaur; Nora Fatehi,,
2014,Super Nani,Indra Kumar,Rekha; Sharman Joshi; Randhir Kapoor; Shweta Kumar,,
2014,Rang Rasiya,Ketan Mehta,Randeep Hooda; Nandana Sen; Paresh Rawal; Ashish Vidyarthi; Sachin Khedekar,,
2014,A Decent Arrangement,Sarovar Banka,Shabana Azmi; Adam Laupus; Lethia Nall; Farid Currim; Shreya Sharma; Vikram Kapadia; Navniit Nisshan; Adhir Bhat,,
2014,The Shaukeens,Abhishek Sharma,Akshay Kumar; Anupam Kher; Annu Kapoor; Lisa Haydon; Piyush Mishra,,
2014,6 – 5 = 2,Bharat Jain,Prashanth Gupta; Niharica Raizada; Ashruth Jain; Gaurav Kothari; Disha Kapoor,,
2014,Kill Dil,Shaad Ali,Ranveer Singh; Parineeti Chopra; Ali Zafar; Govinda,,
2014,Gollu Aur Pappu,Kabir Sadanand,Vir Das; Kunaal Roy Kapur; Shobhit Rana; Dimple Kapadia; Deepak Tijori,,
2014,Happy Ending,Raj Nidimoru and Krishna DK,Saif Ali Khan; Ileana D'Cruz; Govinda; Ranvir Shorey; Kalki Koechlin,,
2014,Titoo MBA,Amit Vats,Nishant Dahiya; Pragya Jaiswal; Abhishek Kumar,,
2014,Hum Hai Teen Khurafaati (हम हैं तीन खुराफाती),Rajeshwar Chauhan,Heena Panchal; Mausam Sharma; Pranshu Kaushal; Shrey Chhabra; Vrajesh Hirjee; Hemant Pandey; Razzak Khan; Brijendra Kala; Manoj Bakshi,,
2014,Ungli,Rensil D'Silva,Sanjay Dutt; Emraan Hashmi; Randeep Hooda; Kangana Ranaut; Neha Dhupia; Neil Bhoopalam; Angad Bedi; Arunoday Singh,,
2014,Zed Plus,Chandraprakash Dwivedi,Adil Hussain; Mona Singh; Mukesh Tiwari; Sanjay Mishra; Kulbhushan Kharbanda; Rahul Singh; Shivani Tanksale; K K Raina; Ekavali Khanna; Anil Rastogi,,
2014,Zid,Vivek Agnihotri,Karanvir Sharma; Mannara Chopra; Shraddha Das,,
2014,Action Jackson,Prabhu Deva,Ajay Devgn; Sonakshi Sinha; Yami Gautam; Manasvi Mamgai; Kunaal Roy Kapur,,
2014,Bhopal: A Prayer for Rain,Ravi Kumar,Martin Sheen; Mischa Barton; Rajpal Yadav; Tannishtha Chatterjee; Akhil Mishra; Fagun Thakrar; Joy Sengupta; Kal Penn; Martin Brambach; David Brooks; Vineet Kumar; Satish Kaushik; Vasanth Santosham; Manoj Joshi,,
2014,Mumbai Delhi Mumbai,Satish Rajwade,Shiv Panditt; Piaa Bajpai,,
2014,Sulemani Keeda,Amit Masurkar,Naveen Kasturia; Mayank Tewari; Aditi Vasudev,,
2014,Badlapur Boys,Shailesh Verma,Shashank Udapurkar; Annu Kapoor; Anupam Maanav; Kishori Shahane; Aman Verma; Saranya Mohan,,
2014,Life Mein Twist Hai,Dinesh Soni,Shyam Avtar Kedia,,
2014,LUV...Phir Kabhie,Ajay Yadav,Saurabbh Roy; Arijita Roy; Meghna Patel; Narendra Bedi,,
2014,Main Aur Mr. Riight,Adeeb Rais,Varun Khandelwal; Danny Saru; Shenaz Treasuryvala; Barun Sobti; Kavi Shastri; Maia Sethna; Anagha Mane; Neha Gosain,,
2014,Objection My God,Amit Khan,Makrand Deshpande; Sanjay Mishra; Rajesh Khattar; Zarina Wahab,,
2014,Room – The Mystery,Faizal Khan,Atif Jamil; Ibra Khan; Roselyn Dsouza; Eshu Gambhir; Himir Gandhi; Rohit Juneja; Shashwita Sharma,,
2014,PK,Rajkumar Hirani,Aamir Khan; Anushka Sharma; Ranbir Kapoor; Parikshit Sahni; Sushant Singh Rajput; Sanjay Dutt; Boman Irani; Saurabh Shukla,₹ 769 crore ( US$ 140 million),769.00
2014,Ugly,Anurag Kashyap,Abir Goswami; Girish Kulkarni; Madhavi Singh; Ronit Roy; Anshikaa Shrivastava; Rahul Bhat; Tejaswini Kolhapure; Sandesh Jadhav,,
2015,International Hero,Sanjay Niranjan,Nakul Vaid; Jatin Grewal; Gurleen Choter,,
2015,Mumbai Can Dance Saala,Sachindra Sharma,Ashima Sharma; Prashant Narayanan; Aditya Pancholi; Mukesh Tiwari,,
2015,Take It Easy,Sunil Prem Vyas,Vikram Gokhale; Dipannita Sharma; Raj Zutshi; Anang Desai; Joy Sengupta; Sulabha Arya; Vijay Kashyap,,
2015,Tevar,Amit Sharma,Arjun Kapoor; Sonakshi Sinha; Raj Babbar; Manoj Bajpai,,
2015,Alone,Bhushan Patel,Bipasha Basu; Karan Singh Grover,,
2015,Crazy Cukkad Family,Ritesh Menon,Swanand Kirkire; Shilpa Shukla; Ninad Kamat; Kushal Punjabi; Kiran Karmarkar; Yusuf Hussain,,
2015,Sharafat Gayi Tel Lene,Gurmmeet Singh,Zayed Khan; Tina Desai; Rannvijay Singh; Talia Benson; Anupam Kher,,
2015,Baby,Neeraj Pandey,Akshay Kumar; Taapsee Pannu; Rana Daggubati; Anupam Kher; Kay Kay Menon; Danny Denzongpa,₹ 142.98 crore (US$22 million),142.98
2015,Dolly Ki Doli,Abhishek Dogra,Sonam Kapoor; Pulkit Samrat; Rajkummar Rao; Varun Sharma,,
2015,Chal Guru Ho Ja Shuru,Manoj Sharma,Hemant Pandey; Chandrachur Singh; Sanjay Mishra; Manoj Pahwa,,
2015,Hawaizaada,Vibhu Puri,Ayushmann Khurrana; Pallavi Sharda,,
2015,Khamoshiyan,Karan Dara,Gurmeet Choudhary; Ali Fazal; Sapna Pabbi,,
2015,Rahasya,Manish Gupta,Tisca Chopra; Ashish Vidyarthi; Kay Kay Menon,,
2015,Jai Jawaan Jai Kisaan,Milan Ajmera,Jatin Khurana; Om Puri; Prem Chopra; Rati Agnihotri; Rishi Bhutani; Sanjay Chakraborty; Akhilesh Jain,,
2015,Shamitabh,R. Balki,Amitabh Bachchan; Dhanush; Akshara Haasan,,
2015,MSG: The Messenger,"Gurmeet Ram Rahim Singh , Jeetu Arora",Gurmeet Ram Rahim Singh; Daniel Kaleb; Flora Saini; Jayshree Soni; Olexandra Semen; Gaurav Gera; Jay Singh Rajpoot; Himanshu Tiwari,,
2015,Roy,Vikramjit Singh,Ranbir Kapoor; Jacqueline Fernandez; Arjun Rampal,,
2015,Badlapur,Sriram Raghavan,Varun Dhawan; Nawazuddin Siddiqui; Huma Qureshi; Yami Gautam; Vinay Pathak; Divya Dutta,,
2015,Qissa,Anup Singh,Irrfan Khan; Tillotama Shome; Tisca Chopra; Faezeh Jalali; Rasika Duggal,,
2015,Ab Tak Chhappan 2,Aejaz Gulab,Nana Patekar; Ashutosh Rana; Vikram Gokhale; Gul Panag,,
2015,Dum Laga Ke Haisha,Sharat Katariya,Ayushmann Khurrana; Bhumi Pednekar,,
2015,Badmashiyaan,Amit Khanna,Suzzanna Mukherjee; Sidhant Gupta; Gunjan Malhotra; Sharib Hashmi; Karan Mehra,,
2015,Coffee Bloom,Manu Warrier,Arjun Mathur; Sugandha Garg; Mohan Kapur,,
2015,Dirty Politics,K. C. Bokadia,Mallika Sherawat; Naseeruddin Shah; Jackie Shroff; Atul Kulkarni; Anupam Kher; Ashutosh Rana,,
2015,Hey Bro,Ajay Chandhok,Ganesh Acharya; Nupur Sharma; Maninder Singh,,
2015,NH10,Navdeep Singh,Anushka Sharma; Neil Bhoopalam; Darshan Kumar,,
2015,Dilliwali Zaalim Girlfriend,Japinder Kaur,Divyendu Sharma; Jackie Shroff; Prachi Mishra; Ira Dubey,,
2015,Hunterrr,Harshavardhan Kulkarni,Gulshan Devaiah; Radhika Apte; Sai Tamhankar,,
2015,Barkhaa,Shadaab Mirza,Sara Loren; Taaha Shah; Shweta Pandit; Priyanshu Chatterjee,,
2015,Yahaan Sabki Lagi Hai,"Satavisha Bose, Cyrus R. khambhata",Varun Thakur; Eden Shyodhi; Heerok Das; Teeshay Shah,,
2015,Detective Byomkesh Bakshy!,Dibakar Banerjee,Sushant Singh Rajput; Anand Tiwari; Swastika Mukherjee; Divya Menon; Neeraj Kabi; Meiyang Chang,,
2015,Luckhnowi Ishq,Aanand Raut,Adhyayan Suman; Karishma Kotak,,
2015,Dharam Sankat Mein,Fuwad Khan,Naseeruddin Shah; Paresh Rawal; Annu Kapoor; Murali Sharma,,
2015,Ek Paheli Leela,Bobby Khan,Sunny Leone; Jay Bhanushali; Mohit Ahlawat; Rajneesh Duggal; Rahul Dev; Jas Arora,,
2015,Court,Chaitanya Tamhane,Vira Satidhar; Vivek Gombher; Geetanjali Kulkarni,,
2015,Margarita with a Straw,Shonali Bose,Kalki Koechlin; Revathi; Hussain Dalal,,
2015,Mr. X,Vikram Bhatt,Emraan Hashmi; Amyra Dastur,,
2015,NH-8 Road to Nidhivan,Munindra Gupta,Auroshikha Dey; Ravneet Kaur; Satyakam Anand; Arjun Fauzdar; Swaroopa Ghosh,,
2015,Ek Adbhut Dakshina Guru Dakshina,Kiran Phadnis,Rajeev Govinda Pillai; Rajesh Shringarpure; Sulagna Panigrahi; Girish Karnad; Roopa Ganguly,,
2015,Ishq Ke Parindey,Shakir Khan,Rishi Verma; Priyanka Mehta; Manjul Aazad; Yasir Iftikhar Khan,,
2015,Kaagaz Ke Fools,Anil Kumar Chaudhary,Vinay Pathak; Mugdha Godse; Raima Sen; Saurabh Shukla; Rajendra Sethi; Amit Behl,,
2015,Gabbar Is Back,Krish,Akshay Kumar; Shruti Haasan; Suman,,
2015,Sabki Bajegi Band,Anirudh Chawla,Sumeet Vyas; Swara Bhaskar; Alekh Sangal; Shaurya Chauhan; Amol Parashar,,
2015,Kuch Kuch Locha Hai,Devang Dholakia,Ram Kapoor; Sunny Leone; Evelyn Sharma; Navdeep Chabbra,,
2015,Piku,Shoojit Sircar,Amitabh Bachchan; Deepika Padukone; Irrfan Khan; Moushumi Chatterjee; Jisshu Sengupta,,
2015,Bombay Velvet,Anurag Kashyap,Ranbir Kapoor; Anushka Sharma; Karan Johar; Kay Kay Menon,,
2015,Main Hoon Part-Time Killer,Faisal Saif,Adithya Menon; Kavita Radheshyam,,
2015,Tanu Weds Manu: Returns,Anand L. Rai,R. Madhavan; Kangana Ranaut,₹ 243.6 crore (US$38 million),243.60
2015,Waiting,Anu Menon,Naseeruddin Shah; Kalki Koechlin; Arjun Mathur; Rajat Kapoor; Suhasini Maniratnam,,
2015,I Love Desi,Pankaj Batra,Vedant Bali; Priyanka Shah; Gulshan Grover,,
2015,Ishqedarriyaan,V. K. Prakash,Mahaakshay Chakraborty; Evelyn Sharma; Kavin Dave; Mohit Dutta,,
2015,P Se PM Tak,Kundan Shah,Meenakshi Dixit; Rocky Verma; Bharat Jadhav; Yashpal Sharma,,
2015,Welcome 2 Karachi,Ashish R Mohan,Arshad Warsi; Jackky Bhagnani; Lauren Gottlieb; Ayub Khoso; Adnan Shah; Imran Hasnee,,
2015,Dil Dhadakne Do,Zoya Akhtar,Anil Kapoor; Shefali Shah; Priyanka Chopra; Ranveer Singh; Anushka Sharma; Farhan Akhtar; Rahul Bose; Zarina Wahab,₹ 145 crore (US$23 million),145.00
2015,Mere Genie Uncle,Ashish Bhavsar,Tiku Talsania; Swati Kapoor; Shakti Kapoor; Ehsaan Qureshi,,
2015,Hamari Adhuri Kahani,Mohit Suri,Emraan Hashmi; Vidya Balan; Rajkummar Rao,,
2015,ABCD 2,Remo D'Souza,Varun Dhawan; Shraddha Kapoor; Prabhu Deva; Lauren Gottlieb; Dharmesh Yelande; Punit Pathak; Raghav Juyal,₹ 158.31 crore (US$25 million),158.31
2015,Miss Tanakpur Haazir Ho,Vinod Kapri,Annu Kapoor; Om Puri; Rahul Bagga; Hrishitaa Bhatt,,
2015,Uvaa,Jasbir Bhaati,Om Puri; Jimmy Sheirgill; Sangram Singh; Archana Puran Singh,,
2015,Lion of Gujarat,Dinesh Lamba,Dinesh Lamba; Akruti Agrawal; Homi Wadia,,
2015,Bezubaan Ishq,Jashwant Gangani,Nishant Singh Malkani; Mugdha Godse; Sneha Ullal,,
2015,Guddu Rangeela,Subhash Kapoor,Arshad Warsi; Aditi Rao Hydari; Amit Sadh,,
2015,Second Hand Husband,Smeep Kang,Gippy Grewal; Tina Ahuja; Dharmendra,,
2015,I Love NY,Radhika Rao,Sunny Deol; Kangana Ranaut,,
2015,Thoda Lutf Thoda Ishq,Sachin Gupta,Hiten Tejwani; Sanjay Mishra,,
2015,Bajrangi Bhaijaan,Kabir Khan,Salman Khan; Kareena Kapoor; Nawazuddin Siddiqui; Harshaali Malhotra,₹ 920.9 crore (US$141 million),920.90
2015,Aisa Yeh Jahaan,Biswajeet Bora,Palash Sen; Ira Dubey; Kymsleen Kholie; Yashpal Sharma,,
2015,Masaan,Neeraj Ghaywan,Richa Chadha; Vicky Kaushal; Sanjay Mishra; Shweta Tripathi,,
2015,Drishyam,Nishikant Kamat,Ajay Devgn; Tabu; Shriya Saran; Rajat Kapoor,₹ 147 crore (US$23 million),147.00
2015,Bangistan,Karan Anshuman,Riteish Deshmukh; Pulkit Samrat,,
2015,Brothers,Karan Malhotra,Akshay Kumar; Sidharth Malhotra; Jacqueline Fernandez; Jackie Shroff; Conan Stevens,,
2015,Gour Hari Dastaan,Ananth Narayan Mahadevan,Vinay Pathak; Konkona Sen Sharma; Ranvir Shorey; Tannishtha Chatterjee,,
2015,All Is Well,Umesh Shukla,Abhishek Bachchan; Asin Thottumkal; Rishi Kapoor; Supriya Pathak,,
2015,Manjhi – The Mountain Man,Ketan Mehta,Nawazuddin Siddiqui; Radhika Apte,,
2015,Rolling Dream,Maahi Kaur,Saachi Tiwari,,
2015,Kaun Kitney Paani Mein,Nila Madhab Panda,Saurabh Shukla; Radhika Apte; Gulshan Grover,,
2015,Phantom,Kabir Khan,Saif Ali Khan; Katrina Kaif,,
2015,Welcome Back,Anees Bazmee,John Abraham; Shruti Hassan; Anil Kapoor; Nana Patekar; Paresh Rawal; Dimple Kapadia,₹ 168.76 crore (US$26 million),168.76
2015,Lakhon Hain Yahan Dilwale,Munnawar Bhagat,Aditya Pancholi; Arun Bakshi; Kishori Shahane,,
2015,Hero,Nikhil Advani,Sooraj Pancholi; Athiya Shetty; Salman Khan; Tigmanshu Dhulia; Aditya Pancholi; Sharad Kelkar,,
2015,Sorry Daddy,Vijay Pal and Shakur,Shamim Khan; Mukesh Tiwari; Tinu Verma,,
2015,Katti Batti,Nikhil Advani,Imran Khan; Kangana Ranaut,,
2015,Meeruthiya Gangster,Zeishan Quadri,Jaideep Ahlawat; Aakash Dahiya; Shadab Kamal; Nushrat Bharucha; Ishita Sharma,,
2015,Kis Kisko Pyaar Karoon,Abbas–Mustan,Kapil Sharma; Arbaz Khan; Manjari Phadnis; Simran Kaur Mundi; Elli Avram; Sai Lokur; Varun Sharma; Supriya Pathak,,
2015,Bhaag Johnny,Shivam Nair,Kunal Khemu; Zoa Morani; Mandana Karimi,,
2015,Singh Is Bliing,Prabhu Deva,Akshay Kumar; Amy Jackson,,
2015,Talvar,Meghna Gulzar,Irrfan Khan; Konkona Sen Sharma; Tabu,,
2015,Jazbaa,Sanjay Gupta,Aishwarya Rai Bachchan; Irrfan Khan; Shabana Azmi,,
2015,Bumper Draw,Irshad Khan,Rajpal Yadav; Zakir Hussain; Subrat Dutta; Rushad Rana,,
2015,Chinar Daastaan-E-Ishq,Sharique Minhaj,Faisal Khan; Inayat Sharma; Dalip Tahil; Shahbaz Khan,,
2015,Pyaar Ka Punchnama 2,Luv Ranjan,Kartik Aaryan; Nushrat Bharucha; Sonnalli Seygall; Omkar Kapoor,,
2015,Wedding Pullav,Binod Pradhan,Anushka Ranjan; Diganth Manchale; Karan Grover; Rishi Kapoor; Sonnalli Seygall,,
2015,Shaandaar,Vikas Bahl,Shahid Kapoor; Alia Bhatt; Pankaj Kapur,,
2015,Titli,Kanu Behl,Shashank Arora; Ranvir Shorey; Amit Sial; Lalit Behl,,
2015,Main Aur Charles,Prawaal Raman,Randeep Hooda; Richa Chadha; Adil Hussain; Nandu Madhav,,
2015,Once Upon a Time in Bihar,Nitin Chandra,Ashish Vidyarthi; Kranti Prakash Jha; Ajay Kumar; Arti Puri; Pankaj Jha; Deepak Singh,,
2015,Guddu Ki Gun,"Shantanu Ray Chhibber, Sheershak Anand",Kunal Khemu; Payel Sarkar; Aparna Sharma; Sumeet Vyas,,
2015,Love Exchange,Raj V Shetty,Mohit Madan; Jyoti Sharma,,
2015,Prithipal Singh... A Story,Babita Puri,Vikas Kumar; Anjali Singh,,
2015,Four Pillars of Basement,Giresh Naik K,Dillzan Wadia; Bruna Abdullah; Aaliya Singh; Zakir Hussain,,
2015,Charlie Kay Chakkar Mein,Manish Srivasta,Naseeruddin Shah,,
2015,Yaara Silly Silly,Subhash Sehgal,Paoli Dam; Parambrata Chatterjee,,
2015,Ranbanka,Aryeman Ramsay,Manish Paul; Ravi Kishan; Pooja Thakur,,
2015,Prem Ratan Dhan Payo,Sooraj Barjatya,Salman Khan; Sonam Kapoor; Neil Nitin Mukesh; Swara Bhaskar; Armaan Kohli; Anupam Kher; Deepak Dobriyal; Sanjay Mishra,₹ 432 crore (US$64 million),432.00
2015,X: Past Is Present,Various Directors,Rajat Kapoor; Huma Qureshi,,
2015,Angry Indian Goddesses,Pan Nalin,Sarah-Jane Dias; Tannishtha Chatterjee; Anushka Manchanda; Sandhya Mridul,,
2015,Tamasha,Imtiaz Ali,Deepika Padukone; Ranbir Kapoor,,
2015,Hate Story 3,Vishal Pandya,Zarine Khan; Daisy Shah; Sharman Joshi; Karan Singh Grover,,
2015,Kajarya,Madhureeta Anand,Meenu Hooda; Ridhima Sud; Kuldeep Ruhil,,
2015,The Silent Heroes,Mahesh Bhatt,Maanuv Bhardawaj; Priyanka Panchal; Mann Bagga; Simran Deep; Nirmal Kumar Pant,,
2015,Bajirao Mastani,Sanjay Leela Bhansali,Ranveer Singh; Deepika Padukone; Priyanka Chopra,₹ 356.2 crore (US$56 million),356.20
2015,Dilwale,Rohit Shetty,Shah Rukh Khan; Kajol; Varun Dhawan; Kriti Sanon,₹ 376 crore (US$67 million),376.00
2016,Chhota Bheem Himalayan Adventures,Rajiv Chilaka,,,
2016,Wazir,Bejoy Nambiar,Amitabh Bachchan; Farhan Akhtar; Aditi Rao Hydari; Manav Kaul; Neil Nitin Mukesh; John Abraham; Murali Sharma; Avtar Gill,,
2016,Chalk n Duster,Jayant Gilatar,Shabana Azmi; Juhi Chawla; Divya Dutta; Zarina Wahab; Jackie Shroff; Arya Babbar; Richa Chadha,,
2016,Rebellious Flower,Krishan Hooda,Prince Shah; Shashank Singh; Mantra Mugdha; Kirti Adarkar; Bachchan Pachera; Shaneel Sinha,,
2016,Airlift,Raja Krishna Menon,Akshay Kumar; Nimrat Kaur; Purab Kohli; Ferena Wazeir; Gunjan Malhotra,₹ 209.97 crore (US$31.25 million),209.97
2016,Jugni,Shefali Bhushan,Sugandha Garg; Siddhant Behl; Sadhana Singh; Anuritta K Jha; Samir Sharma,,
2016,Kyaa Kool Hain Hum 3,Umesh Ghadge,Tushar Kapoor; Aftab Shivdasani; Mandana Karimi; Meghna Naidu; Darshan Jariwala; Krushna Abhishek; Claudia Ciesla; Riteish Deshmukh; Gizele Thakral; VJ Andy; Danny Saru,,
2016,Saala Khadoos,Sudha Kongara Prasad,R. Madhavan; Ritika Singh; Zakir Hussain,,
2016,Mastizaade,Milap Milan Zaveri,Tushar Kapoor; Vir Das; Sunny Leone; Shaad Randhawa; Riteish Deshmukh; Gizele Thakral; Bruna Abdullah,,
2016,Sanam Teri Kasam,"Radhika Rao , Vinay Sapru",Mawra Hocane; Harshvardhan Rane; Anurag Sinha; Shraddha Das,,
2016,Ghayal: Once Again,Sunny Deol,Sunny Deol; Soha Ali Khan; Aanchal Munjal; Daina Khan; Shivam Patil; Rishabh Arora; Abhilash Kumar,,
2016,Fitoor,Abhishek Kapoor,Aditya Roy Kapoor; Katrina Kaif; Tabu; Ajay Devgn; Aditi Rao Hydari; Akshay Oberoi; Lara Dutta; Rahul Bhatt,,
2016,Sanam Re,Divya Khosla Kumar,Pulkit Samrat; Yami Gautam; Urvashi Rautela; Rishi Kapoor; Bharti Singh; Shreyas Pardiwalla,,
2016,Direct Ishq,Rajiv S. Ruia,Rajneesh Duggal; Nidhi Subbaiah; Arjun Bijlani,,
2016,Ishq Forever,Sameer Sippy,Krishna Chaturvedi; Ruhi Singh; Javed Jaffrey; Lisa Ray,,
2016,LoveShhuda,Vaibhav Mishra,Girish Kumar; Navneet Kaur Dhillon; Benaf Dadachandji; Yash Pandit,,
2016,Neerja,Ram Madhvani,Sonam Kapoor; Shabana Azmi; Shekhar Ravjiani,,
2016,Dhara 302,Jitender Singh Narukal,Rufy Khan; Dipti Dhotre; Gulshan Pandey,,
2016,Aligarh,Hansal Mehta,Manoj Bajpayee; Rajkummar Rao,,
2016,Bollywood Diaries,K.D. Satyam,Raima Sen; Ashish Vidyarthi; Salim Diwan; Karuna Pandey; Vineet Kumar Singh,,
2016,Love Shagun,Sandesh Nayak,Anuj Sachdeva; Nidhi Subbaiah; Manit Joura,,
2016,Tere Bin Laden: Dead or Alive,Abhishek Sharma,Manish Paul; Sikander Kher; Pradhuman Singh; Sugandha Ram,,
2016,Zubaan,Mozez Singh,Vicky Kaushal; Sarah Jane Dias; Raghav Chanana,,
2016,Jai Gangaajal,Prakash Jha,Priyanka Chopra; Anuj Aggarwal; Prakash Jha; Rahul Bhatt,,
2016,Global Baba,Manoj Sidheshwari Tewari,Abhimanyu Singh; Sandeepa Dhar; Ravi Kishan; Pankaj Tripathi; Sanjay Mishra; Akhilendra Mishra,,
2016,Teraa Surroor,Shawn Arranha,Himesh Reshammiya; Farah Karimi; Monica Dogra; Naseeruddin Shah; Shekhar Kapur,,
2016,OK Mein Dhokhe,Utpal S. Chaudhary,Zoya Rathore; Sapan Krishna; Vaidhei Singh; Megha Verma; Ravi Thakur; Milan Singh,,
2016,Darling Don't Cheat,Rajkumar Hindusthani,Gaurav Pandey; Ashish Tyagi; Neha Chaterji,,
