actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Imran Khan,yes,2010,I Hate Luv Storys,72.52,yes,Punit Malhotra
Irrfan Khan,no,2009,New York,78.34,no,Kabir Khan
Isha Koppikar,no,2003,Qayamat: City Under Threat,28.52,yes,Harry Baweja
Isha Koppikar,no,2005,Maine Pyaar Kyun Kiya?,47.22,yes,David Dhawan
Isha Koppikar,no,2006,Don: The Chase Begins Again,106.00,yes,Farhan Akhtar
Jackie Shroff,no,2000,Mission Kashmir,43.30,yes,Vidhu Vinod Chopra
Jackie Shroff,no,2000,Refugee,35.44,yes,J. P. Dutta
Jackie Shroff,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Jackie Shroff,no,2001,Yaadein,34.59,yes,Subhash Ghai
Jackie Shroff,no,2004,Hulchul,33.09,yes,Priyadarshan
Jackie Shroff,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Javed Jaffrey,no,2007,Ta Ra Rum Pum,70.00,yes,Siddharth Anand
Javed Jaffrey,no,2008,Singh Is Kinng,136.00,no,Anees Bazmee
Javed Jaffrey,no,2009,Kambakkht Ishq,85.56,yes,Sabbir Khan
Jaya Bachchan,no,2000,Fiza,32.20,yes,Khalid Mohammed
Jaya Bachchan,no,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Jaya Bachchan,no,2003,Kal Ho Naa Ho,86.09,yes,Nikhil Advani
Jiah Khan,no,2008,Ghajini,232.00,yes,A R Murugadoss
Jiah Khan,no,2010,Housefull,114.18,no,Sajid Khan
Jimmy Sheirgill,no,2003,Munna Bhai M.B.B.S.,36.29,yes,Rajkumar Hirani
Jimmy Sheirgill,no,2004,Hum Tum,43.22,yes,Kunal Kohli
Jimmy Sheirgill,no,2006,Lage Raho Munna Bhai,126.20,yes,Rajkumar Hirani
John Abraham,no,2004,Dhoom,72.47,yes,Sanjay Gadhvi
John Abraham,no,2005,Garam Masala,64.65,no,Priyadarshan
John Abraham,no,2008,Dostana,87.00,yes,Tarun Mansukhani
John Abraham,no,2009,New York,78.34,no,Kabir Khan
Johnny Lever,no,2000,Mela,25.00,yes,Dharmesh Darshan
Johnny Lever,no,2002,Awara Paagal Deewana,27.58,no,Vikram Bhatt
Johnny Lever,no,2006,Phir Hera Pheri,69.00,no,Neeraj Vora
Juanna Sanghvi,no,2007,Heyy Babyy,84.00,no,Sajid Khan
Juhi Chawla,no,2001,Ek Rishtaa: The Bond of Love,36.50,yes,Suneel Darshan
Juhi Chawla,no,2008,Bhoothnath,70.00,no,Vivek Sharma
Kabir Bedi,no,2003,The Hero: Love Story of a Spy,45.13,yes,Anil Sharma
Kajol,yes,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Kajol,yes,2006,Fanaa,103.00,yes,Kunal Kohli
Kajol,yes,2010,My Name Is Khan,220.30,yes,Karan Johar
