actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Kunal Khemu,no,14,-0.04681318681318681,0.012226002254841222,6.5,6.6,3631,9173
Kurush Deboo,no,9,-0.20999999999999996,-0.17342273692163868,7.1,6.0,2263,344
Lara Dutta,no,29,0.037044334975369464,0.020145774337384258,5.3,6.5,2994,402
Lillete Dubey,no,15,-0.2242857142857143,-0.06553455017611845,7.3,4.1,16716,6237
Lisa Haydon,no,6,-0.27428571428571424,-0.1552801602793305,5.1,2.7,4636,349
Lisa Ray,no,6,-0.23999999999999996,-0.07828531015672346,6.1,6.5,1374,2417
Lucky Ali,no,5,-0.86,-0.40534603013101966,6.6,4.1,5788,257
Madhuri Dixit,no,14,-0.06395604395604396,0.0749032294759204,4.5,4.6,844,78999
Mahesh Manjrekar,no,22,-0.0019198193111236485,0.008448699042041154,6.6,8.6,5788,246
Mahie Gill,no,15,-0.06607142857142857,-0.005443673072041022,5.3,6.1,19,4462
Mahima Chaudhry,no,24,-0.05708695652173913,-0.009950895589423112,4.7,3.0,714,16066
Makarand Deshpande,no,6,0.11142857142857139,-0.22929770540266148,7.5,9.0,2569,69
Makrand Deshpande,no,7,-0.05714285714285716,0.19645928657342784,5.6,4.6,135,2323
Malaika Arora,no,5,0.010000000000000054,0.1942267436401171,5.0,5.5,3391,17947
Mallika Sherawat,no,17,0.023039215686274515,0.024776262425082154,3.9,6.9,914,525
Manav Kaul,no,13,0.01373626373626378,0.05724883214712776,8.2,7.0,3060,12352
Mandira Bedi,no,5,0.8299999999999998,0.6225417658388641,4.7,8.0,120,39087
Manisha Koirala,no,27,0.043528693528693534,0.03296317603444623,4.6,4.5,754,32187
Manjari Fadnis,no,7,0.29999999999999993,-0.058286347965035526,7.4,7.4,29506,3567
Manjot Singh,no,6,-0.19428571428571434,0.09018989724617212,6.9,4.7,14274,4196
Manoj Bajpai,no,23,0.025691699604743077,0.024312702645628917,5.2,4.2,262,3585
Manoj Bajpayee,no,30,-0.005895439377085644,0.021232643105481626,6.6,6.3,211,20897
Manoj Joshi,no,21,0.05207792207792208,0.012453308672030745,6.8,7.1,17637,1771
Manoj Pahwa,no,23,0.059189723320158094,0.025727594944323653,4.7,6.7,356,11753
Manu Rishi,no,10,-0.025454545454545417,-0.031744956679448745,7.7,6.2,19411,3628
Manushi Chhillar,no,6,0.09714285714285716,-0.05976914814605844,5.5,5.8,53960,29166
Meghna Naidu,no,5,-0.22000000000000003,0.2403195110843772,3.0,2.0,241,4697
Milind Gunaji,no,12,0.21608391608391608,0.0008057594767067113,8.3,8.4,12,145
Milind Soman,no,13,-0.08736263736263733,0.11191719310467776,5.1,5.2,324,11996
Minissha Lamba,no,13,-0.17032967032967028,0.04849874606245444,7.5,3.7,1286,1588
Mithun Chakraborty,no,33,0.047459893048128345,0.07099621997759765,4.3,6.9,50,12076
Mohammed Zeeshan Ayyub,no,12,0.09615384615384616,-0.09181695938951454,5.9,7.1,11193,1013
Mohan Agashe,no,5,0.5200000000000001,-0.24324920392711138,5.3,6.9,995,73
Mohnish Bahl,yes,16,-0.052647058823529415,0.025204461794093035,7.3,5.3,876,6439
Mona Singh,no,5,-0.46000000000000013,0.026997188556132333,8.4,6.3,482868,28745
Mouni Roy,no,7,-0.43571428571428567,0.007284071613553235,7.3,3.7,15550,11992
Mrinalini Sharma,no,5,-1.05,-0.2849120664107424,7.4,3.7,5608,1286
Mrunal Thakur,no,12,-0.18846153846153849,0.008836572146627999,7.4,4.0,2948,38527
Mugdha Godse,no,10,-0.1903030303030303,-0.13582551243575453,6.9,5.9,13715,4737
Mukesh Rishi,no,6,-0.1628571428571429,0.18694397392696965,4.2,2.7,115,314
Mukesh Tiwari,no,17,0.16151960784313724,-0.014299284570359212,3.2,6.6,2990,7101
Murali Sharma,no,17,-0.06789215686274512,-0.0034222400268696775,8.0,6.5,15729,702
Murli Sharma,no,12,-0.09125874125874127,0.028150519426070306,7.6,6.8,289,22465
Mushtaq Khan,no,6,0.4799999999999999,0.12958919718268566,3.0,7.0,27,9
Namit Das,no,5,-0.5599999999999998,-0.19475412338465228,7.6,5.2,37320,9033
Namrata Shirodkar,no,9,-0.15833333333333333,-0.09988659865405483,4.7,3.0,384,119
Nana Patekar,no,27,-0.02771672771672772,0.020191796768055437,6.3,3.3,301,18694
Nandana Sen,no,6,-0.8342857142857142,-0.31621451037284276,8.1,3.1,37535,180
Nandita Das,no,11,-0.09909090909090915,0.0331037096127765,7.0,5.1,349,1736
