year,title,studio,gross
2008,Singh Is Kinng,Indian Films Big Pictures Hari Om Entertainment Blockbuster Movie Entertainers,₹ 136 crore (US$31.26 million)
2008,Jodhaa Akbar,UTV Motion Pictures Ashutosh Gowariker Productions,₹ 120 crore (US$27.58 million)
2008,Race,UTV Motion Pictures Tips Industries,₹ 106 crore (US$24.37 million)
2008,Golmaal Returns,Shree Ashtavinayak Cine Vision Indian Films,₹ 95 crore (US$21.84 million)
2008,Dostana,Yash Raj Films Dharma Productions,₹ 87 crore (US$20 million)
2008,Bachna Ae Haseeno,Yash Raj Films,₹ 79 crore (US$18.16 million)
2008,Bhoothnath,Eros International Indian Films B. R. Films,₹ 70 crore (US$16.09 million)
2008,Sarkar Raj,Eros International Adlabs Balaji Motion Pictures Raksha Entertainment K Sera Sera Z Picture Company,₹ 63 crore (US$14.48 million)
2009,3 Idiots,Reliance Big Pictures Vinod Chopra Films,₹ 400.61 crore (US$82.76 million)
2009,Love Aaj Kal,Eros International Illuminati Films,₹ 119.52 crore (US$24.69 million)
2009,Ajab Prem Ki Ghazab Kahani,Tips Industries,₹ 106.74 crore (US$22.05 million)
2009,Wanted,Sahara One Motion Pictures Eros International BSK Network & Entertainment,₹ 93.23 crore (US$19.26 million)
2009,Kambakkht Ishq,Eros International Nadiadwala Grandson Entertainment,₹ 85.56 crore (US$17.68 million)
2009,De Dana Dan,Baba Arts Hari Om Entertainment Eros International Venus Records & Tapes,₹ 81.85 crore (US$16.91 million)
2009,New York,Yash Raj Films,₹ 78.34 crore (US$16.18 million)
2009,Kaminey,UTV Motion Pictures,₹ 71.57 crore (US$14.79 million)
2009,Blue,Shree Ashtavinayak Cine Vision,₹ 63.92 crore (US$13.21 million)
2009,All the Best: Fun Begins,Kinesis Films Ajay Devgn Films,₹ 61 crore (US$12.6 million)
2010,Dabangg,Shree Ashtavinayak Cine Vision Arbaaz Khan Productions,₹ 221.14 crore (US$48.36 million)
2010,My Name Is Khan,Fox Star Studios Fox Searchlight Pictures Dharma Productions Red Chillies Entertainment Image Nation Abu Dhabi,₹ 220.3 crore (US$48.18 million)
2010,Golmaal 3,Shree Ashtavinayak Cine Vision Eros International Shree Ashtavinayak Light Camera Action,₹ 167 crore (US$36.52 million)
2010,Raajneeti,UTV Motion Pictures Walkwater Media Prakash Raj Productions,₹ 145.50 crore (US$31.82 million)
2010,Housefull,Eros International Nadiadwala Grandson Entertainment,₹ 114.18 crore (US$24.97 million)
2010,Tees Maar Khan,Hari Om Entertainment UTV Motion Pictures Three's Company Productions,₹ 101.89 crore (US$22.28 million)
2010,Once Upon A Time In Mumbaai,Balaji Motion Pictures,₹ 96.44 crore (US$21.09 million)
2010,I Hate Luv Storys,UTV Motion Pictures Dharma Productions,₹ 72.52 crore (US$15.86 million)
2010,Anjaana Anjaani,Eros International Nadiadwala Grandson Entertainment,₹ 69.85 crore (US$15.28 million)
2010,Khatta Meetha,Cape Of Good Films Hari Om Entertainment Shree Ashtavinayak Cine Vision,₹ 62.79 crore (US$13.73 million)
